"","Nose_x","Nose_y","Nose_p","Ear_left_x","Ear_left_y","Ear_left_p","Ear_right_x","Ear_right_y","Ear_right_p","Lat_left_x","Lat_left_y","Lat_left_p","Lat_right_x","Lat_right_y","Lat_right_p","Center_x","Center_y","Center_p","Tail_base_x","Tail_base_y","Tail_base_p","Tail_end_x","Tail_end_y","Tail_end_p"
"90",449.5298,834.99207,1,469.02087,867.3263,1,479.65167,837.01855,1,501.89636,882.2151,0.92313033,509.84512,833.1623,0.99034625,532.69037,861.52234,1,572.4717,858.94025,1,687.1736,841.29114,1
"91",446.1191,830.47107,1,465.6178,864.02155,0.964735,475.8217,832.7732,1,496.54385,881.4361,0.87268525,505.4112,830.9602,0.94172233,525.3869,860.148,1,562.7782,862.77704,1,696.3265,852.3273,0.66423315
"92",439.3937,822.9186,0.97718656,454.93307,859.2478,1,468.03195,830.49963,1,487.94305,882.92944,0.8697908,498.95297,832.52814,1,518.88586,863.4298,1,555.3579,866.07556,1,676.9361,861.0252,0.93622386
"93",433.5743,817.71,1,443.56595,854.8164,1,462.55002,827.17566,1,480.8528,882.5104,0.9070036,491.65326,832.2068,0.93220073,509.40244,862.16656,1,547.77545,865.87036,1,31.688227,809.13446,0.12646002
"94",428.58093,817.9033,0.97689474,436.65353,854.242,1,454.17902,827.1636,1,470.8979,879.60394,0.92855984,482.12335,830.1504,0.9082024,499.34464,861.3364,0.9911916,541.1434,862.10065,1,667.6701,884.376,1
"95",416.077,819.4593,1,430.509,853.5453,1,445.85608,825.30566,1,462.49872,875.03143,1,472.28107,827.623,0.7910031,491.97336,858.0896,1,534.4148,858.10944,1,182.32098,654.9447,1
"96",409.89575,821.5282,0.9368622,424.73486,854.19696,0.98367774,438.59393,825.0998,1,459.44815,873.8466,1,466.36023,826.6801,0.83188725,487.7764,854.2146,0.929424,529.073,856.0232,1,657.0795,861.43494,1
"97",396.86572,824.11926,0.976404,416.91833,852.9437,1,428.81992,822.73206,0.99981517,449.43542,870.2798,0.954976,460.07294,823.7394,0.9118682,479.50024,852.62006,0.9530168,520.68274,854.6643,1,654.58777,859.84784,1
"98",388.0477,828.8822,0.93961275,409.3231,853.3604,0.9449908,418.2971,822.694,1,441.72144,870.1938,0.9452562,451.55063,823.0684,0.99858755,472.27463,852.3557,0.95746803,511.2635,857.9813,1,642.57477,860.02814,1
"99",378.49478,830.19916,0.93273526,401.65994,854.5033,0.94706684,408.63953,825.1301,1,433.0595,872.65985,0.9377572,443.35544,824.563,0.903965,463.9012,854.9245,0.9482601,504.26633,859.625,1,608.75836,861.2328,1
"100",370.643,836.46234,1,389.42618,855.72186,0.72849685,397.54556,829.9947,0.9424525,429.0759,880.9092,0.8321116,433.10876,829.1623,1,456.8524,858.09033,0.9366049,495.38632,862.7562,1,622.3801,872.7688,0.88091165
"101",359.52768,837.45245,1,380.65668,859.95435,0.85481346,385.54248,832.6331,0.9809507,415.96243,880.6144,0.8435107,420.72202,829.20184,0.919241,446.12286,859.9227,0.9744004,488.37927,864.0203,1,610.0244,875.92444,1
"102",352.09872,837.11694,1,371.4787,862.5144,1,379.86377,832.7528,1,407.59415,881.02594,0.9403948,413.0052,830.2744,0.9090657,438.66974,860.7385,0.93640405,479.32693,861.57446,1,607.9805,876.23615,1
"103",349.1444,834.0138,1,367.25488,862.50586,1,377.85022,832.84796,1,401.20746,879.92755,0.92886335,408.2107,829.2703,0.8221099,427.69815,858.99243,0.9413944,473.05264,855.2084,1,608.1496,876.00635,0.9786638
"104",343.3759,834.5557,1,360.8032,860.2042,1,369.3216,834.9792,1,392.96228,878.7495,1,400.20004,828.5083,0.9883332,423.13666,856.94934,0.96036106,466.5023,849.4152,1,925.2757,410.3486,1
"105",338.34595,833.27203,0.9888435,359.5347,861.91547,1,367.13712,833.8086,1,392.40726,877.57184,1,395.04758,828.4658,0.95963174,420.5737,852.5419,0.9700212,462.3113,845.07416,1,590.7814,834.87885,0.42524928
"106",334.74518,838.22723,1,355.37332,862.22107,1,360.7083,833.8415,1,388.91876,874.12256,0.9757355,391.68576,827.5081,0.9137868,417.37024,851.7912,0.9983402,459.42587,842.9859,1,591.98236,828.87665,1
"107",332.68735,840.8251,0.9950021,354.50113,862.0189,1,357.19434,834.0369,1,384.79855,871.5187,0.9045957,388.52325,826.8059,0.8947928,414.88214,850.3958,0.96533936,457.5547,842.83954,1,590.0058,832.3277,1
"108",330.42767,845.5223,0.98739743,354.80112,863.764,1,353.85815,835.5172,1,384.75797,871.9891,0.9444905,385.4229,823.7914,0.9227552,411.4988,848.74945,0.97584957,454.59656,842.8787,1,578.59216,846.8863,0.9218813
"109",331.07678,850.3633,1,355.66812,865.10333,1,351.99506,836.4014,1,384.6668,873.0245,0.934346,383.48877,823.484,0.8999259,409.35938,848.346,0.9178284,451.15222,843.50916,1,575.997,845.7991,1
"110",330.41766,854.5314,1,354.0994,865.9249,1,348.13235,837.9965,1,383.86465,873.8261,0.9219127,381.20935,824.20996,0.8657234,407.8464,848.9111,0.92854625,449.59555,845.2311,1,573.5038,846.15967,1
"111",327.8938,860.79236,1,353.51282,868.4824,1,346.005,840.1858,1,381.5795,874.06744,0.9458561,377.17023,824.81683,0.8210424,407.20932,848.7756,0.9709823,447.2951,844.96564,1,578.5591,856.4188,1
